#{"t_start": 1747305980.5042236, "env_id": "CustomHopper-source-v0"}
r,l,t
1070.382694,361,70.784422
713.877719,270,70.914152
444.582404,153,70.99234
373.578609,135,71.057643
431.540469,153,71.134861
625.502171,203,71.232117
524.351264,175,71.348141
602.801386,225,73.236853
417.197148,151,73.316904
652.966589,224,73.42161
877.761941,308,73.583376
658.646952,217,73.691466
558.758791,189,73.788947
575.648814,196,73.884174
639.934982,206,73.989682
489.933275,171,74.075227
604.461069,206,74.185849
